"User_Action","Type","Request ","Time_Taken(msec)","Size"
"landingpage","Time","landingpage_https://qa-ma.perf.infaqa.com/staticui/identity-service/661/symphony/js/min/infa-widgets-5.5.0.js","3272.1","423462"
"landingpage","Time","landingpage_https://qa-ma.perf.infaqa.com/staticui/identity-service/661/symphony/js/min/infa-tpl-5.5.0.js","2963.5","501883"
"landingpage","Time","landingpage_https://qa-ma.perf.infaqa.com/staticui/identity-service/661/symphony/js/min/infa-webShell-5.5.0.js","1743.3","112075"
"landingpage","Size","landingpage_https://qa-ma.perf.infaqa.com/staticui/identity-service/661/symphony/js/min/infa-tpl-5.5.0.js","2963.5","501883"
"landingpage","Size","landingpage_https://qa-ma.perf.infaqa.com/staticui/identity-service/661/symphony/js/min/infa-widgets-5.5.0.js","3272.1","423462"
"showProductsPage","Time","showProductsPage_https://icsdownloadsecure.informatica.com/ICS/Florence/CloudTrial/QA-perf/css/styles.css","2381.3","0"
"showProductsPage","Time","showProductsPage_https://qa-pod1.perf.infaqa.com/cloudshell/symphony/5.5.0.50/js/min/infa-tpl-5.5.0.js","2286.4","501883"
"showProductsPage","Time","showProductsPage_https://qa-pod1-mdm.perf.infaqa.com/rdm-ui/locale/en/translation.json","1949.3","0"
"showProductsPage","Size","showProductsPage_https://qa-pod1.perf.infaqa.com/cloudshell/symphony/5.5.0.50/images/shell.common/Login_Image_01.jpg","1423.1","729011"
"showProductsPage","Size","showProductsPage_https://qa-pod1.perf.infaqa.com/cloudshell/symphony/5.5.0.50/js/min/infa-tpl-5.5.0.js","2286.4","501883"
"showProductsPage","Size","showProductsPage_https://qa-pod1.perf.infaqa.com/cloudshell/symphony/5.5.0.50/js/min/infa-widgets-5.5.0.js","1538.1","423462"
"Administrator","Time","Administrator_https://icsdownloadsecure.informatica.com/ICS/Florence/CloudTrial/QA-perf/js/trialLauncher.js","6823.4","0"
"Administrator","Time","Administrator_https://qa-pod1.perf.infaqa.com/cloudUI/products/integrationDesign/js/shellGlue.js","1704.9","300"
"Administrator","Time","Administrator_https://qa-pod1.perf.infaqa.com/diUI/ui/template/common/tools.web.template/images/_mapping.svg","1246.6","1534"
"Administrator","Size","Administrator_https://qa-pod1.perf.infaqa.com/cloudUI/app/ics/js/ics_app-administer-1215.min.js","938.4","1301517"
"Administrator","Size","Administrator_https://qa-pod1.perf.infaqa.com/diUI/app/ics/js/ics_app-integration_pluggable-2807.min.js","595.6","1223109"
"Administrator","Size","Administrator_https://qa-pod1.perf.infaqa.com/cloudUI/cdn/app/administer/static/js/2.f6160960.chunk.js","461.1","919578"
"logout","Time","logout_https://p.typekit.net/p.gif?s","564.9","0"
"logout","Time","logout_https://qa-ma.perf.infaqa.com/identity-service/configInfo","459.6","323"
